Country Code,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,Inflation_2010,Inflation_2011,Inflation_2012,Inflation_2013,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,TravelExp_2010,TravelExp_2011,TravelExp_2012,TravelExp_2013,TravelExp_2014,TravelExp_2015,TravelExp_2016,TravelExp_2017,TravelExp_2018,TravelExp_2019,TravelExp_2020,TravelExp_2021
BGD,5.57178818533122,6.46437912497728,6.52145877906443,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.5902548153114,7.31940777981607,7.8819067286135,3.44802562762527,6.93867912442445,8.12667639169917,11.39516515524,6.21750422069265,7.53040640913173,6.99163889220857,6.19428022984991,5.51352572692995,5.70207015717245,5.54362139486469,5.59199639930629,5.69107474746206,5.54565430773478,81000000.0,87000000.0,103000000.0,129000000.0,153000000.0,150000000.0,214000000.0,341000000.0,353000000.0,388000000.0,217000000.0,
BGR,1.55535951301474,2.09017569644121,0.748814802957327,-0.542751313085674,0.949448520821818,3.39755387590648,3.02662839224124,2.74592725876734,2.69490655338835,4.03518894662498,-3.96615613627334,7.6617480742932,2.43899060504113,4.21990346601873,2.95456829831022,0.890093540913002,-1.4181838026484,-0.104633261008385,-0.79864988645371,2.06159619443141,2.81454473824829,3.10372944796781,1.67244096855756,3.29774435299515,3343000000.0,3764000000.0,3462000000.0,3829000000.0,3927000000.0,3139000000.0,3637000000.0,4099000000.0,4468000000.0,4287000000.0,1636000000.0,
BHR,4.33429917283131,1.98351501159991,3.72810843046017,5.41683981012071,4.35039085252969,2.48537855758804,3.55812811897778,4.29094977756338,2.11113047304872,2.1669646688237,-4.64463735878491,2.66970871448231,1.96188468334623,-0.40004069748808,2.75739669962979,3.30001156888442,2.64755321246189,1.84862742374977,2.78679347602044,1.38671830576406,2.08766938046978,1.00582004702137,-2.31770629331379,-0.60631938514085,1362000000.0,1035000000.0,1059000000.0,1175000000.0,1208000000.0,2705000000.0,3846000000.0,4245000000.0,3689000000.0,3681000000.0,673000000.0,
BHS,1.53866248693835,0.613170735890648,3.08637766147865,-2.86250547778705,1.84710719180123,0.996230704298327,-0.762973444883031,2.52416173981204,2.91830692650552,-0.743661882784338,-23.5081014371591,16.9844904756948,1.34402738392836,3.1987814166032,1.97336755976254,0.722414784530551,1.51375643050831,1.86148302863371,-0.346376929989397,1.51820700736147,2.26586346678736,2.49123527368046,0.0385210980054558,2.90491262928478,2147000000.0,2142000000.0,2311000000.0,2285000000.0,2316000000.0,2537000000.0,3074000000.0,2930000000.0,3728000000.0,4125000000.0,1002000000.0,
BIH,0.865669260237084,0.959511247241267,-0.821836474216894,2.3498566632458,1.15385109200403,4.31475061116335,3.24225521171914,3.24410095889466,3.82749920546897,2.88734334414875,-3.01509514759861,7.39165262555947,1.99621236745886,3.67125,2.05267452001727,0.722414784530551,1.51375643050831,1.86148302863371,-0.346376929989397,1.51820700736147,2.26586346678736,2.49123527368046,0.0385210980054558,2.90491262928478,589000000.0,635000000.0,615000000.0,685000000.0,707000000.0,752000000.0,830000000.0,930000000.0,1096000000.0,1173000000.0,426000000.0,
BLR,7.79826683524436,5.37870750437234,1.68713553434753,1.0034707715852,1.7262099894002,-3.82966307070085,-2.52583140897062,2.53162368036521,3.14963949909348,1.44620667102681,-0.672904125264921,2.43886608142535,7.73574804312507,53.2286983118173,59.2197360232518,18.3122610377873,18.1195543526735,13.5344897649735,11.8365807653496,6.03183725177785,4.87230220550692,5.59815595039852,5.54814357456515,9.460283896231,440000000.0,487000000.0,685000000.0,791000000.0,868000000.0,729000000.0,711000000.0,801000000.0,883000000.0,901000000.0,355000000.0,
BLZ,1.23995291537476,-0.298181524565479,3.6615993816965,4.43764383676776,4.00531831673186,3.22549309143569,-0.0110344145780772,-1.81336514835535,1.05559823069711,4.23623453555723,-13.7316910831405,17.8624478393742,0.917977378808888,1.602056156402,1.30058074547858,0.50974776898322,1.20139964481058,-0.861584009427748,0.663427167917601,1.14765339305816,0.269982622646335,0.187069385181424,0.121434644614894,3.23563659237071,264000000.0,248000000.0,298000000.0,351000000.0,380000000.0,372000000.0,391000000.0,427000000.0,479000000.0,527000000.0,247000000.0,
BMU,-2.50287828947368,-3.74274431740703,-5.30529910675297,-0.279708545423034,-3.70106759364258,0.775529699568978,-0.657206304259205,3.61141983706115,-0.432801300339307,0.306266735233933,-6.83795519136594,3.01381643857819,0.917977378808888,1.602056156402,1.30058074547858,0.50974776898322,1.20139964481058,-0.861584009427748,0.663427167917601,1.14765339305816,0.269982622646335,0.187069385181424,0.121434644614894,3.23563659237071,442000000.0,493000000.0,441000000.0,439000000.0,401000000.0,370000000.0,440000000.0,513000000.0,583000000.0,601000000.0,94000000.0,
BOL,4.1267225910567,5.204092443086,5.12227558091757,6.79601142810841,5.46056950635136,4.85718717971413,4.26392086382113,4.19520633360395,4.22362365271844,2.21670563961031,-8.7378843576993,6.11137272458573,2.50327605844241,9.88446419823883,4.51560291399376,5.73640023719607,5.76660074579144,4.05961041135645,3.62321431764138,2.8227580554717,2.27205987230155,1.83954504969026,0.940742153381849,0.737383721452275,310000000.0,380000000.0,594000000.0,574000000.0,664000000.0,699000000.0,713000000.0,803000000.0,815000000.0,837000000.0,191000000.0,
BRA,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.98884970066018,5.03872690108075,6.6364496221309,5.40349914036997,6.20431066640101,6.32904015516139,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,5261000000.0,6095000000.0,6378000000.0,6474000000.0,6843000000.0,5844000000.0,6024000000.0,5809000000.0,5921000000.0,5995000000.0,3044000000.0,
BRB,-2.27218807289982,-0.748154442029076,-0.305742398132196,-1.29920820787332,-0.0011298796678147,2.42587905631385,2.53499685607439,0.462619285844923,-0.871716338791373,0.26359855236862,-12.7379887726406,-0.782841690641717,5.82421853311866,9.43220240177221,4.53334753888766,1.81410436049105,1.76950322089729,-1.11278992510967,1.28192813061895,4.66018463955996,3.67381410406801,4.10028964518461,3.21176803803376,8.30165975585673,1038000000.0,971000000.0,929000000.0,969000000.0,887000000.0,947000000.0,1038000000.0,1080000000.0,1125000000.0,5995000000.0,3044000000.0,
BRN,2.59896574643226,3.74531835205994,0.912841670964411,-2.12602851740175,-2.50835256644561,-0.392383749502031,-2.47791771833224,1.32860255161715,0.0522377907767719,3.86910986506845,1.1335733495246,-1.59076260099606,0.356869132017561,0.13791156316954,0.111766261400307,0.389205053123632,-0.207108731719822,-0.488347420743522,-0.278693265753083,-1.2605056462896,1.02505179290212,-0.390522069165529,1.94031996607184,1.73341388450593,1038000000.0,971000000.0,92000000.0,96000000.0,79000000.0,147000000.0,144000000.0,177000000.0,190000000.0,217000000.0,38000000.0,
BTN,11.945895998376,7.98261704055838,5.1184008580055,2.11997263298187,5.77649568013734,6.64223210535519,8.12703353838936,4.65183467529613,3.50187183723874,5.75514850618227,-10.2183974073689,4.42136740220592,7.0363831607302,8.848985699468,10.919656944683,8.77638345268213,8.27106093949328,4.54814395082205,3.21988689395718,4.95508366985129,2.7239638618372,2.7264303738882,5.62936522632514,7.3468144053353,40000000.0,47000000.0,61000000.0,83000000.0,84000000.0,94000000.0,92000000.0,105000000.0,103000000.0,120000000.0,84000000.0,
BWA,10.1222091179732,6.83852974803483,-0.170900761456892,11.1028237779771,5.69477738185952,-4.85133564036167,7.20442475914267,4.1143636634186,4.18809355373698,3.0322025744566,-8.72875252639037,11.8703583151425,6.94887658743103,8.45987233408583,7.53690261091916,5.88460707056817,4.40225309243427,3.06203169580558,2.81495791361944,3.30828076768219,3.23801558947715,2.77286442863321,1.8903591682421,7.24097765588442,438000000.0,465000000.0,513000000.0,481000000.0,528000000.0,533000000.0,503000000.0,542000000.0,582000000.0,705000000.0,211000000.0,
CAF,4.63081843223307,4.19461533741989,5.05376125356918,-36.3919770983887,0.0810705153264877,4.33712103020231,4.75031684122342,4.52727821346231,3.78944359275462,3.09999999999999,0.899999996857062,0.982920000000064,1.49102370047802,1.1944757244985,5.47829594346117,6.98879341970198,14.898684179755,1.40297017136816,4.94543276106518,4.18072331871267,1.61215686991555,2.68537355266787,1.71015659523153,4.25936417542868,11000000.0,11000000.0,11000000.0,11600000.3814697,528000000.0,533000000.0,503000000.0,542000000.0,582000000.0,705000000.0,211000000.0,
CAN,3.09080637403602,3.13719438973661,1.75566132540601,2.32581357393478,2.87346677184995,0.649970993709132,1.03855093491798,3.03383490260789,2.74296343112555,1.9084319253883,-5.03823344128351,5.28695689105889,1.77687154092627,2.91213508872351,1.51567823124517,0.938291897815317,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,15830000000.0,16839000000.0,20156000000.0,20886000000.0,21580000000.0,20315000000.0,22676000000.0,25083000000.0,26893000000.0,28018000000.0,11256000000.0,
CEB,1.4354513276152,3.51315949573141,0.824034778982011,0.663998194178433,3.21256403738292,4.02542475575089,2.74966903544507,5.10291796588449,4.94031321919648,3.90176981753798,-3.41697586600033,6.47606275750201,1.80117022137134,4.13027562645085,3.33492267693442,1.4382978723404,0.0538213132399802,-0.464499004644911,-0.054999541670474,2.0759355367385,2.53445424186598,2.66456133425431,1.67244096855756,3.83984491500146,42237000000.0,47740000000.0,45193000000.0,48044000000.0,49720000000.0,43046000000.0,46454000000.0,53069000000.0,57856000000.0,58435000000.0,11256000000.0,
CHE,3.24339733550173,1.81310819203695,1.17925383325108,1.79214405707484,2.34988127508626,1.64462768699285,2.0686896670996,1.36279955711416,2.86044579461633,1.14198232505277,-2.14173720650054,5.39188804141473,0.688238707220026,0.2313492076509,-0.692552018105253,-0.217323155115693,-0.0132025387514939,-1.14390867228183,-0.434618664285835,0.533787839825897,0.936335464113563,0.362886179940614,-0.725874933313384,0.581814168489856,14811000000.0,17148000000.0,15991000000.0,16674000000.0,17768000000.0,16929000000.0,16752000000.0,17251000000.0,17994000000.0,17955000000.0,9038000000.0,
